,logFC,P.Value,adj.P.Val
SIM2,-6.6136866,0.005595623,0.438506655
CDKN1B,-1.1017305,0.00561502,0.439097696
DEFB1,-7.594767,0.005623363,0.439440933
WNT16,-1.1943878,0.005638978,0.43973341
UBE2L3,-1.1393038,0.005658995,0.43975139
ARSE,-3.6440837,0.005664397,0.439556451
WNT11,-1.2315513,0.005687112,0.440089814
GYG2,-1.8998722,0.005711492,0.440442851
CXorf61,-2.7041197,0.005741985,0.442487248
PSMB5,-1.3237746,0.00575434,0.442825117
TTBK2,-1.1443727,0.00577562,0.443847988
AMDHD1,-1.8660759,0.005776869,0.443637192
LOC441416,-1.4181865,0.005793958,0.444642229
CGREF1,-2.2948303,0.005807822,0.445398629
DNTTIP2,-1.185099,0.005813582,0.445532893
FGF10,-2.3031514,0.005815086,0.445341007
DNAH6,-1.7236773,0.005819116,0.445036246
LRRIQ1,-3.2276566,0.005823867,0.445093204
INS-IGF2,-2.3203673,0.005868462,0.44727098
KCNA4,-1.7372844,0.005881933,0.447683573
PRR16,-3.0445733,0.005923634,0.449318794
SLA,-1.3880515,0.005929873,0.449178751
ACTG2,-1.5680579,0.005942925,0.449554586
RTDR1,-1.5301064,0.005944074,0.449335631
FBXO42,-1.2932363,0.005978379,0.451314799
GLO1,-1.284568,0.005987958,0.451731055
C1orf180,-1.1144375,0.005988478,0.45146381
WAC,-1.2070519,0.006001558,0.452143143
ZNF576,-1.8213933,0.006025216,0.452697825
PCDHGA3,-2.8272765,0.006036611,0.452941486
FLJ36644,-2.4134018,0.006039913,0.452883404
DCK,-1.2400408,0.006050149,0.453345079
CREG1,-1.6070975,0.006057989,0.453626639
IGF2BP3,-1.4871545,0.006058363,0.453349157
B4GALT2,-1.1813248,0.006067196,0.453704614
DAB2IP,-1.3519176,0.006085892,0.453576488
LDLR,-1.9050672,0.006120769,0.454651197
BCL2L13,-1.4189115,0.006129849,0.455021522
MEF2A,-1.1760181,0.006143997,0.455463233
KIAA0090,-1.309982,0.006214286,0.458228348
MAP6,-2.3432667,0.006231709,0.458600097
RBM8A,-1.5857294,0.006240408,0.458936408
F2RL3,-1.3000408,0.006243975,0.458894969
TRPC6,-2.3556936,0.006290408,0.461087738
SLC10A5,-1.1084157,0.006304684,0.46182954
PCDHB16,-6.467435,0.006335837,0.463195506
TRDMT1,-1.8280146,0.00633915,0.463133061
SLC2A4,-1.770584,0.006348138,0.463484998
ITGAD,-1.2470818,0.006351336,0.463414
LGR6,-1.3677139,0.006362688,0.463633399
FAM58A,-1.1430235,0.006402701,0.465328522
GUSBP1,-1.5973567,0.006403234,0.465063135
C9orf9,-1.1773468,0.006407839,0.465093627
SLU7,-1.2667649,0.006411022,0.465020873
OGDHL,-3.298015,0.006447965,0.467090724
ETS2,-2.0098796,0.006477198,0.468292579
IMPAD1,-1.3064642,0.006484325,0.468503051
SLC43A3,-1.5292021,0.006504653,0.468752655
DENND4C,-1.2824266,0.006512721,0.468726097
RNF180,-2.4176078,0.006541459,0.469881412
TREM1,-3.0116096,0.006555594,0.470288718
TRIML1,-1.2346992,0.006571883,0.471153163
HK2,-1.9152329,0.006584796,0.471470542
CAPN6,-1.2347057,0.006586145,0.471263513
DLC1,-1.3047284,0.006608325,0.471635797
TUSC5,-2.291892,0.006619063,0.472098921
C6orf10,-1.2572275,0.006622104,0.472012882
AP4B1,-1.1292833,0.006637149,0.472176623
AQP9,-3.0460958,0.006639531,0.472043882
MRO,-1.1342187,0.006643466,0.47202163
GPR85,-1.7381116,0.006647636,0.472016142
LAMB4,-1.2837698,0.006677891,0.473559234
TEKT1,-1.3746188,0.006689765,0.473796522
SMC5,-1.427386,0.006700395,0.473945246
ARL4D,-1.2971919,0.00670384,0.473887284
DNAH17,-2.232021,0.0067041,0.47360439
CCRL1,-4.275891,0.006705697,0.473416215
SGIP1,-6.6520643,0.006711543,0.473528136
CALCRL,-2.1681035,0.006714644,0.473446334
CLDN14,-5.6707263,0.006721835,0.473652817
PRRC1,-1.5106817,0.006738852,0.474250463
CHIT1,-3.3986733,0.006748935,0.474359178
DTHD1,-1.9998751,0.006765242,0.475204784
DNAJC24,-1.4034595,0.006769313,0.475190368
HAUS6,-1.955927,0.006772948,0.47514538
CAV3,-2.395561,0.006790072,0.475446261
ANKRD45,-1.7540509,0.006792434,0.475312107
HEBP2,-1.8555517,0.006807337,0.476055215
AFMID,-1.255056,0.006825763,0.476743737
ADO,-1.2611146,0.006827913,0.476594309
APPBP2,-1.3800148,0.006829351,0.476395474
LOC646903,-2.3029203,0.006861725,0.478053587
IQSEC3,-1.3375182,0.006930466,0.481333845
ACBD5,-1.4949116,0.006947064,0.481884255
UNC45B,-1.4856035,0.006955107,0.482141214
ICAM1,-1.367,0.006996491,0.484405626
TRA2B,-1.6871904,0.007013033,0.484946683
RCN1,-3.3519874,0.007016601,0.484891646
CRISPLD2,-2.1291866,0.007061905,0.486509624
MMP13,-20.199808,0.007086217,0.487278243
MFI2,-1.6494263,0.00708671,0.487010778
TNFRSF12A,-1.779479,0.007105267,0.48768291
FBXO10,-1.2120423,0.007139323,0.488511695
ZNF17,-1.2217189,0.007161461,0.489423747
RELB,-1.3269252,0.007190743,0.489618189
ATP1B2,-1.323944,0.007205067,0.489693369
FREM1,-4.3072042,0.007266548,0.49086967
LOC728264,-3.315577,0.007271722,0.490920752
BEAN,-3.9999022,0.007281234,0.49096636
BPTF,-1.5112209,0.007282824,0.490775754
ALDH1B1,-1.6525184,0.007313795,0.49226578
EDNRB,-1.4849188,0.007326174,0.492502365
CD68,-1.103855,0.007337394,0.492065941
FMO2,-2.148798,0.007365366,0.493346322
GRIN2C,-1.1689523,0.007386458,0.494163401
PRR21,-1.1656929,0.007395323,0.494458739
SOX5,-2.812132,0.007418558,0.495416144
GRM8,-2.8328512,0.007418889,0.495140663
TMEM43,-1.6408546,0.007430287,0.4956037
SOX17,-3.5316265,0.007434488,0.495586444
PLEKHG4B,-5.6115017,0.00743654,0.49512918
WWTR1,-2.694172,0.00745693,0.495595985
CD93,-1.853205,0.007456973,0.495302557
PAPPA2,-1.1895939,0.007458655,0.495118332
CPXM1,-3.7205105,0.007469876,0.494681179
ZNF654,-1.457479,0.007471665,0.494504935
MCAM,-2.2145844,0.007483879,0.494724001
EPM2A,-1.1476994,0.00751191,0.495986939
FBXO30,-1.4013307,0.00754303,0.496860779
KDM5A,-1.2697302,0.007563524,0.497620766
HHIPL1,-1.3334463,0.007602289,0.499875273
DDOST,-1.0783254,0.007603462,0.499361385
MYL2,-1.2071611,0.00761019,0.499508026
KCNJ15,-4.356418,0.007637596,0.500420164
LOC401317,-1.6799442,0.007648438,0.500540277
PFKP,-2.8779118,0.007649413,0.500309422
PROM1,-8.425418,0.007649553,0.500024287
PLEKHG1,-3.2340343,0.007686109,0.501234469
FCGR3B,-1.538148,0.007719454,0.502524214
PCDHGB2,-1.6433294,0.007741949,0.503693563
TCTEX1D1,-1.7720281,0.007762925,0.504762745
LOC100130729,-1.4843141,0.007789672,0.505614325
GALNT10,-1.0573092,0.007806883,0.506435674
HOXB9,-1.6457489,0.0078132,0.505959324
C19orf12,-1.4688003,0.007843154,0.506423464
FZD9,-2.5638757,0.007866785,0.507065392
SORCS3,-1.7347842,0.007883327,0.507542858
RERGL,-3.7696116,0.007892547,0.507842183
SKA2L,-1.3202147,0.007954181,0.510330541
SKA2,-1.3202147,0.007954181,0.510330541
KCNE1,-2.7210846,0.007965107,0.510442111
SFRP1,-6.243859,0.007982775,0.511279463
STEAP3,-1.5671738,0.008018517,0.512092893
NBLA00301,-1.742086,0.0080438,0.512529377
SCARF1,-1.2133782,0.008050011,0.512631176
C8orf84,-7.491642,0.008065067,0.51300195
SC5DL,-1.3769898,0.008066365,0.512497826
COX7A1,-1.5622255,0.008083832,0.513020956
CCDC102A,-1.2650075,0.008087351,0.512951304
CA6,-1.5205563,0.008090203,0.512839475
HDAC4,-1.844574,0.008130244,0.514204376
GAPVD1,-1.3823973,0.008144881,0.514544387
OXR1,-1.269489,0.008168939,0.515771037
C2orf40,-2.2922218,0.008169156,0.515491835
MMP7,-48.925194,0.008205394,0.516312581
CALU,-1.9663243,0.008223957,0.516895245
CREB3L2,-1.6294221,0.008238883,0.517540638
GJC1,-1.9507023,0.008258937,0.518214476
WSB2,-1.3701023,0.008323542,0.520212023
TMX4,-2.2280562,0.008341607,0.520462889
CLEC1A,-1.5753028,0.008372986,0.521834714
DMD,-1.3091015,0.008374331,0.521626016
MFF,-1.6569266,0.008383618,0.520744961
SCNN1G,-1.6751459,0.008386678,0.520353341
UNC80,-1.1280919,0.008390885,0.520033656
RASGRP3,-1.4411192,0.008398894,0.520239868
REEP3,-1.9184198,0.008400425,0.52004479
DCLRE1A,-1.1067739,0.00842234,0.520242166
LOC100131360,-1.8341546,0.0084537,0.521309921
RGS16,-2.993927,0.008460443,0.52114733
CHRFAM7A,-1.4198223,0.008461934,0.520950407
CHRNA7,-1.4198223,0.008461934,0.520950407
MAGED4,-4.1677747,0.008506467,0.523112389
MAGED4B,-4.1677747,0.008506467,0.523112389
ASH2L,-1.7201942,0.008541223,0.524089644
OR6X1,-1.0966606,0.008543106,0.523915883
ATP6V0D2,-2.3370461,0.008543758,0.523378212
RAD18,-1.6081928,0.008612269,0.525258604
C4BPA,-1.6477854,0.008636579,0.525875364
FGFR4,-1.8146474,0.008644125,0.526046595
HK3,-1.7655625,0.008644479,0.525780231
FAM20A,-2.9310446,0.00866415,0.526688386
C10orf118,-1.9610623,0.0087007,0.527755426
SAPS1,-1.311048,0.008736215,0.529043277
ESF1,-2.104339,0.008753466,0.529222715
NLRP5,-1.5853611,0.008823749,0.531736165
ZPBP,-1.2662854,0.008864552,0.533038723
C1orf114,-1.3971124,0.008896903,0.533540475
MKRN2,-1.2637644,0.008914529,0.53373341
PLAUR,-1.4111058,0.008916757,0.533579297
TACR1,-2.6941683,0.008919653,0.533465356
PDP1,-1.6685517,0.008986449,0.536017834
MTPAP,-1.6465468,0.009007555,0.536412914
PABPC4L,-2.8804615,0.009023077,0.536761966
AKAP1,-1.4135209,0.009036393,0.537266498
SLC41A2,-4.8127685,0.009074648,0.538676362
TLL2,-1.8719283,0.009127441,0.540366857
PCSK9,-2.2559268,0.009144008,0.540483858
LRRTM2,-1.133418,0.009147507,0.5404032
PXK,-1.3187025,0.009148478,0.539886542
KIAA2013,-1.1788565,0.009152451,0.53983429
LOC728138,-1.1788565,0.009152451,0.53983429
MYL12A,-1.3186423,0.009153713,0.53962229
ENKUR,-2.2120888,0.009162345,0.539844805
FBXL7,-1.3032866,0.009173798,0.539375638
LOC100190939,-3.589897,0.009201276,0.540705104
IFNA8,-1.0480886,0.009203186,0.540531501
BMS1,-1.2625239,0.009213225,0.540549729
LBP,-1.5827187,0.009221991,0.540778554
C1orf107,-1.5660251,0.009243911,0.54092213
NRN1,-2.5825183,0.009251876,0.541103267
ODAM,-1.5009176,0.009277582,0.541466775
SLC12A5,-1.4415255,0.009338656,0.543888585
ARL2BP,-1.3312662,0.009342644,0.543835852
GREM2,-7.6043067,0.009365885,0.544333274
C9orf122,-1.565321,0.009423701,0.546835497
LOC100131630,-1.565321,0.009423701,0.546835497
SFRS2IP,-1.1525315,0.009431804,0.546734678
RPE,-1.2436424,0.009460125,0.547234504
SERPIND1,-1.5713135,0.009478728,0.54774036
GFRA3,-1.4274315,0.009480324,0.547547841
GPR142,-1.1801416,0.009542872,0.549162392
LUZP1,-1.3409301,0.009562637,0.548595231
SRPR,-1.5948987,0.009569504,0.548705861
VWF,-1.337304,0.009576065,0.548798912
SDHD,-1.2554252,0.009606766,0.549707868
PLXDC1,-1.9626044,0.009607972,0.549493929
GSX2,-1.0904506,0.00961363,0.549252161
TGFB2,-4.2547026,0.009637408,0.550327665
MAPK1,-1.1141138,0.009655862,0.550815387
FBXO34,-1.4855088,0.009665114,0.551060271
CD44,-1.3647687,0.009731119,0.553403869
EMR3,-1.0963534,0.009741899,0.553733544
MGC29506,-1.3275627,0.009753313,0.553815732
CD177,-1.1234388,0.009848233,0.556928839
FCGR1A,-1.1433955,0.009884178,0.558109535
KCNB1,-6.497166,0.009903182,0.55833144
HOXA9,-2.0435495,0.009908832,0.558366702
FAM193A,-2.210443,0.009914655,0.558128788
SMAD9,-2.6685555,0.009918403,0.558057083
SIK1,-2.3243685,0.009928266,0.558329313
BMX,-1.6392772,0.009933128,0.558320158
GRM2,-1.1392351,0.009939165,0.558377038
CCDC76,-1.2531968,0.00994732,0.558270703
CCL7,-2.7541637,0.009947844,0.558018335
SNX31,-1.5791589,0.009954631,0.55811727
REXO4,-1.1429331,0.010018188,0.559985458
GPR116,-1.7479544,0.010078126,0.561922511
SAP30,-1.1664894,0.01010543,0.562598033
LOC100192378,-3.0512016,0.010132969,0.563566501
ANGPT1,-2.211798,0.010134893,0.563109834
BCL6B,-1.4246005,0.010157725,0.563533164
AKR1C1,-3.2178428,0.010167062,0.563769694
AKR1C2,-3.2178428,0.010167062,0.563769694
APOL6,-1.6483405,0.010175761,0.563970592
ARSK,-1.3670502,0.010192325,0.564607042
PCDHB9,-5.1011763,0.010192388,0.564329233
LDHA,-1.4002059,0.010203239,0.564367633
MLL,-1.3931732,0.010209656,0.56416091
UBXN7,-1.4850265,0.01021838,0.564081972
SIAH3,-2.210457,0.010254915,0.564976171
RBP4,-3.2987156,0.010272075,0.565641141
DYM,-1.2475882,0.010277508,0.565659995
TAF7,-1.1349298,0.010279757,0.565503662
FGFBP1,-2.5378346,0.010311669,0.565579277
L3MBTL4,-1.6301241,0.010330314,0.565764182
SERPINH1,-1.8336148,0.010374889,0.566251866
MMP12,-4.633051,0.010400068,0.566513135
ANGPTL4,-2.9524946,0.010424696,0.566743388
KRT81,-1.4589989,0.010495436,0.568641817
RASL10B,-1.3629146,0.010532445,0.569536206
BMP2,-3.5941257,0.010536767,0.569492777
CACNG6,-1.8614817,0.010553465,0.569564184
VAT1L,-1.8163663,0.010555081,0.569098646
HN1,-1.5270514,0.010594437,0.569287068
VSNL1,-27.647602,0.010599116,0.568988188
C5orf24,-1.8864611,0.01060654,0.569111794
HMGA2,-2.164749,0.010616988,0.569397445
CD84,-1.3557457,0.010641942,0.570460463
CCDC88C,-1.1570896,0.010694413,0.571893778
PHF16,-1.3651239,0.010700857,0.571688161
WHSC1L1,-2.3604875,0.010705486,0.57166062
SNRPB2,-1.4186563,0.010738118,0.571754604
DARC,-1.7435522,0.010757997,0.572264659
SLC35B4,-1.544946,0.010777137,0.572460723
NCKIPSD,-1.0821764,0.010780341,0.572357308
GPR161,-4.2280536,0.010791086,0.572380832
PKP2,-1.6081855,0.010828745,0.573830547
CAPRIN1,-1.22212,0.01086522,0.574667244
MTG1,-1.5313442,0.01086886,0.574586288
SPRN,-1.5313442,0.01086886,0.574586288
SAMD5,-2.250182,0.010875534,0.574665683
BIN1,-1.3466737,0.01087764,0.574230861
TIGD2,-1.6524422,0.010887493,0.574478127
SOX10,-1.8852347,0.010896556,0.57441079
GALNT11,-2.049983,0.010931278,0.574877616
LOC100130591,-2.049983,0.010931278,0.574877616
SAA4,-2.4029865,0.010933944,0.574745842
CTBS,-1.6708302,0.010958203,0.57520473
RAB14,-1.1307625,0.010961006,0.574808813
C2orf39,-2.0968647,0.010975863,0.575316407
PDZRN4,-2.1788175,0.010987519,0.575384596
ISM1,-5.1550164,0.011004192,0.575444134
WDR45L,-1.2165359,0.011044684,0.577018532
SMAD5,-1.8613787,0.011045243,0.576776553
PTPN3,-1.4062092,0.011080689,0.577812951
WNT2B,-3.3609152,0.011083432,0.577684919
SPIN3,-1.1940299,0.011132647,0.578892455
SIGLEC5,-1.1764339,0.011135127,0.578750575
DIP2C,-1.3343674,0.011147631,0.578858995
NFAT5,-1.600149,0.011186716,0.579804797
ATF2,-1.3118585,0.011237165,0.580794183
CCDC122,-1.8358662,0.011246973,0.581030851
VIP,-1.2027786,0.011263054,0.581591218
ARX,-1.3111506,0.011263918,0.58136571
NOS3,-1.5823593,0.01130384,0.582614372
LOC440104,-1.3215643,0.01138341,0.584546543
MMP19,-1.3215643,0.01138341,0.584546543
EFNA5,-1.3019747,0.011392734,0.584485128
GAL,-3.1943467,0.011440642,0.585861066
KLHL8,-1.3271103,0.011452164,0.58564141
RAB3C,-1.8032556,0.011458803,0.585173053
TP63,-1.4324864,0.011470179,0.585484914
PVRL3,-1.729545,0.011480942,0.585227877
STYX,-1.3118261,0.011555337,0.587403348
CBWD2,-1.173089,0.011570667,0.586840369
CBWD1,-1.173089,0.011570667,0.586840369
FHL5,-2.1776145,0.01157291,0.586686343
SCRN3,-1.3967938,0.011608653,0.587694014
HPR,-1.8153023,0.011667253,0.58878301
C8orf22,-1.6301486,0.011672701,0.588790536
LYVE1,-2.2426093,0.011706777,0.589706345
HILS1,-2.0907269,0.011707769,0.589489062
PLXNA2,-2.037135,0.01172834,0.589723222
FAM154A,-1.280671,0.011767986,0.590914549
VPS33A,-1.1978468,0.011798341,0.592171211
EIF3A,-1.7209115,0.011802734,0.592124268
GLMN,-1.6518992,0.011803322,0.591886518
S100A4,-2.0925968,0.011815192,0.591947514
UCHL1,-1.5025579,0.011819322,0.591887565
CLEC3B,-1.9078875,0.011916157,0.594860347
CAMSAP1L1,-1.4189997,0.01193272,0.594885433
KDM3A,-1.1761659,0.011939046,0.594933891
KRT77,-1.6366224,0.01194038,0.594733682
MEPE,-1.0850191,0.011951908,0.594774687
IRAK3,-2.880281,0.011972168,0.595249783
C17orf51,-1.3618071,0.011972428,0.594996469
UCP3,-1.2957851,0.011984356,0.594791241
RPL23A,-1.1125016,0.011990792,0.594845001
FABP4,-2.3126757,0.012012373,0.59564968
PGRMC1,-1.1505276,0.012036051,0.596557596
TGFBR2,-1.1909422,0.012057934,0.597375738
PRKAR2B,-2.6436696,0.01209953,0.598902471
P4HB,-1.2678467,0.012120566,0.599409702
ARIH1,-1.1646296,0.012137869,0.599465077
C10orf10,-2.0146408,0.012172086,0.600354517
ALB,-1.2996322,0.01221509,0.601407824
C2orf69,-2.3318472,0.012274833,0.602746893
YEATS2,-1.2239164,0.012285903,0.602757777
CRTAC1,-1.8320346,0.012286547,0.602257596
ZRANB1,-1.2783304,0.012287187,0.602023414
DYNC1I1,-2.9698257,0.012305335,0.602646855
DCX,-2.7120411,0.012310309,0.602624858
SLC38A5,-1.9609137,0.012331757,0.603143392
TM2D2,-1.3236413,0.012338523,0.60294359
SLC5A8,-2.0291395,0.012353068,0.601801843
DOCK7,-1.8915323,0.012406604,0.602034512
P4HA3,-2.405479,0.012424194,0.602361996
ADAMTS18,-4.840628,0.012434942,0.602620193
SCHIP1,-3.330565,0.012465362,0.60383107
VGLL4,-1.301538,0.012483098,0.604163454
DPYSL4,-3.045366,0.012566112,0.607387572
AG2,-1.2945675,0.012596747,0.60781081
RSRC1,-1.6314759,0.012619595,0.608121109
LRRC34,-3.3704286,0.012647636,0.608680509
FAM19A1,-1.0800287,0.012679564,0.609161771
LOC727775,-1.0800287,0.012679564,0.609161771
KLB,-1.6972345,0.012741183,0.611065373
ADAMTS16,-1.3057905,0.012746972,0.611079259
SLC39A12,-1.3549366,0.012779638,0.611853398
LOC642852,-1.9794627,0.01278736,0.611959426
DTWD2,-1.1730711,0.01278829,0.61174047
CSNK1A1,-1.4463093,0.012800928,0.612081541
SELS,-1.4859929,0.012814061,0.612182694
TAS1R1,-1.2000382,0.01283971,0.612354954
CAV2,-3.2137,0.012861262,0.613119693
OMD,-1.8251094,0.012906241,0.614473082
LOC151878,-2.0659697,0.012924069,0.615058395
SLC25A36,-2.0428765,0.012938145,0.614938194
LGALS1,-1.861391,0.012948525,0.615168435
PLEKHA3,-1.322767,0.012951669,0.615054846
LOC100129096,-2.18938,0.012986313,0.615647653
POLD3,-1.5427516,0.012998849,0.615716578
SLC30A9,-1.1783364,0.013004749,0.615471347
TGFBR1,-1.8688661,0.013027145,0.61574457
ELAVL1,-1.7570689,0.013035055,0.615594721
BBX,-1.559498,0.013067371,0.616858718
TRAM2,-1.373255,0.013089814,0.617393651
SUSD2,-1.268403,0.013126126,0.618056985
CCT8,-1.2186221,0.013146255,0.61848067
SNAI2,-3.1097062,0.0131507,0.618427947
ZNF544,-1.2443846,0.01315701,0.618201461
RAB22A,-1.4758317,0.01316538,0.618072027
DBX2,-2.0795157,0.013208307,0.61956384
MUC13,-2.5527182,0.013244687,0.620223073
OR10A2,-1.2140294,0.013291548,0.621370065
SV2C,-1.6848308,0.013363045,0.623139578
PKHD1,-1.4315758,0.013365593,0.622996969
C4orf49,-1.4197142,0.013368907,0.622629087
XYLB,-1.4748034,0.013376457,0.622719765
LRTM2,-1.7462319,0.013377863,0.622524392
MAPK1IP1L,-1.3648851,0.013396233,0.622857589
AGPAT4,-3.642622,0.013418508,0.622850832
PITRM1,-2.9740348,0.013425541,0.622917066
SPON1,-7.0187416,0.01342907,0.622820781
MEG3,-2.5563512,0.013449499,0.6229882
ADAM17,-1.4417548,0.013459266,0.622921311
SACS,-1.2122943,0.013468301,0.623079933
F11R,-1.3171793,0.013469854,0.622892463
SLK,-1.0856236,0.013472396,0.622750877
TMEM30A,-1.6136006,0.013481093,0.622634852
PCDHGA8,-1.8123612,0.013492836,0.622401146
PCDHGB4,-1.8123612,0.013492836,0.622401146
LOC341689,-1.4781119,0.01350451,0.62268118
MOBKL1B,-1.3609176,0.013523444,0.623037184
LOC100130955,-1.1793765,0.013544492,0.62348987
GPAM,-1.6888261,0.013550927,0.62352779
C9orf123,-1.7569497,0.013553852,0.623146325
PIK3C2G,-3.5424008,0.013577804,0.623989392
ITGBL1,-3.7239685,0.013591956,0.624381517
HNF1A,-1.4576155,0.013592306,0.624139588
EXOSC3,-1.6128482,0.013600764,0.623754737
HELZ,-1.5771072,0.013622225,0.624223736
EDN3,-2.3401814,0.013626646,0.624168914
CLEC4E,-1.5992321,0.013640983,0.62405393
SLC16A8,-1.1802785,0.01365445,0.624412928
USP34,-1.308745,0.013675504,0.625118501
GNAO1,-1.1638241,0.01373307,0.626718667
ANXA5,-1.3551253,0.013812457,0.629307752
ABLIM1,-1.3903289,0.013813365,0.6290912
LOC100130433,-1.1752604,0.013848092,0.629383046
KIR2DS2,-1.2337066,0.01391546,0.6298687
GUCA2B,-1.6037706,0.013950061,0.630151479
GATAD2B,-1.3202207,0.013988031,0.631609904
ACVR2B,-1.4648767,0.014028653,0.632159753
GPR37,-1.7984632,0.014032016,0.632055012
LMAN1L,-1.1156647,0.014032569,0.6318238
PNMAL2,-1.2712566,0.014041881,0.631731173
KHDRBS1,-1.1313137,0.014058549,0.631458424
TRIML2,-1.5674878,0.01412061,0.633733643
IFIT2,-2.1647537,0.014202321,0.635092357
STT3B,-1.3258481,0.014203185,0.634875519
MUC4,-1.1357093,0.014204219,0.634666427
HOXD10,-4.119534,0.014225131,0.635345363
PTN,-5.1585593,0.014234535,0.635254734
CAMK2G,-1.2435266,0.014368676,0.638165633
DLGAP1,-1.8716847,0.014371998,0.638058149
LOC644397,-1.4408357,0.014397169,0.638920357
PSMA5,-1.0996637,0.014443637,0.639960242
DLL3,-2.722749,0.014460085,0.640433633
LOC100132815,-1.0605469,0.014461615,0.640246219
C6orf108,-1.2320362,0.014478076,0.64046468
LIPA,-1.3191115,0.014510712,0.641142698
PPP1R3B,-2.5053678,0.014539526,0.640886842
CNOT10,-1.108514,0.014576051,0.641479027
TMEM123,-1.6498162,0.014578107,0.641315534
AGTR2,-1.2161924,0.014595886,0.641589649
TMEM2,-1.8873627,0.014632224,0.642424606
KDM4D,-1.4311062,0.014633117,0.642210035
HNRNPR,-1.399853,0.014674214,0.643251547
PCSK6,-2.1255662,0.014684209,0.643182261
CCDC105,-1.3148141,0.014734415,0.644365371
ZNF395,-1.3096743,0.014736406,0.644198911
FBXO16,-1.3096743,0.014736406,0.644198911
RAP1B,-1.3664213,0.014759094,0.64443017
LOC643387,-1.1258098,0.014764254,0.644402267
LOC653506,-2.2827938,0.01476715,0.644275616
METRNL,-2.2827938,0.01476715,0.644275616
OSBP,-1.8672302,0.014768263,0.644071316
LOC653879,-1.2916483,0.014776781,0.643937335
C3,-1.2916483,0.014776781,0.643937335
PRND,-1.5261836,0.014792439,0.643610089
HLA-A,-1.8811065,0.014793688,0.643412529
LOC643634,-2.1777592,0.014800218,0.643193048
TPM4,-2.1777592,0.014800218,0.643193048
PAPOLA,-2.429511,0.014832609,0.643593922
TMX2,-1.6875786,0.014841998,0.643749943
OR4L1,-1.1069517,0.014852065,0.643935261
CDH13,-2.9371145,0.014864743,0.644233563
PPP2R5E,-1.3370136,0.014899559,0.644987817
PDSS1,-1.5700293,0.01489969,0.644742296
ATP8A2,-2.642022,0.014924727,0.645072144
CYP3A5,-1.597058,0.014946951,0.64578152
TXNDC5,-1.4034386,0.014959025,0.645800998
2-Sep,-1.3118273,0.014985498,0.646190737
MALL,-3.0443785,0.015016171,0.646259494
EXOC3L,-1.5010971,0.015034286,0.646538289
VN1R5,-1.1152956,0.015035514,0.646340961
RTKN2,-2.0281954,0.01505205,0.64680161
KCNG3,-1.6570851,0.015063413,0.646539846
FAM71B,-1.1771154,0.015078778,0.646949442
CHERP,-1.221484,0.015097431,0.646501649
PMP22,-1.8720232,0.015105623,0.646354325
SH2D6,-1.1384689,0.015124814,0.646428738
ZMYM5,-1.403271,0.015138801,0.646777774
MMP14,-2.5370488,0.015172409,0.647466819
LOC284214,-2.2992349,0.015186294,0.647562004
MPHOSPH10,-1.2201338,0.015205193,0.648119166
MED23,-1.480567,0.015219329,0.647976065
HRH1,-3.1999145,0.015295841,0.64973998
C16orf62,-1.280057,0.015315283,0.649820633
LOC84989,-1.163053,0.015335224,0.650170185
ARIH2,-1.2464885,0.015338834,0.65007521
